Bundesland;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;insgesamt;;
Baden-Württemberg;278627;287909;291548;294238;308543;314859;326417;324189;327894;43181;2797405;;
Bayern;350718;364373;372482;368972;391125;398100;404951;410252;416611;54766;3532350;;
Berlin;130010;130782;130930;132717;137733;141154;143442;144326;147330;14750;1253174;;
Brandenburg;80574;80854;81165;79286;80978;82612;85451;82462;83954;11251;805740;;
Bremen;20505;21088;21656;21576;22395;22261;24098;24354;23980;3212;205050;;
Hamburg;66115;65690;64897;65734;67196;68477;67960;67528;68991;8484;661150;;
Hessen;133208;133345;131603;130853;135597;141080;149917;146859;148930;24818;1332080;;
Mecklenburg-Vorpommern;55773;54909;54610;53059;56077;56971;58363;57477;60053;6144;557730;;
Niedersachsen;196128;211103;212629;202338;211087;215105;215276;210211;217705;32973;1961280;;
Nordrhein-Westfalen;578904;576709;573586;583258;610703;639987;653809;662244;679607;68258;5789040;;
Rheinland-Pfalz;132080;133431;132481;131250;137441;142671;145860;144278;144819;18729;1320800;;
Saarland;30988;31831;31881;31696;33399;34700;34701;34303;35265;4538;309880;;
Sachsen;110410;110790;109315;105577;108653;109736;109623;107284;107501;15908;1104100;;
Sachsen-Anhalt;76374;76455;76084;73076;74376;75213;75111;73503;75022;8545;763740;;
Schleswig-Holstein;66317;67296;75034;79333;85346;85443;90105;90707;92209;13194;663170;;
Thüringen;54726;55278;54110;53722;56182;56958;58014;56491;55790;7358;547260;;
