Straßenart;Ortslage;Art_Unfall;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Autobahnen;innerorts;Getötete;0;0;0;0;0;0;0;0;0;0
Autobahnen;innerorts;Schwerverletzte;0;0;0;0;0;0;0;0;0;0
Autobahnen;innerorts;Leichtverletzte;0;0;0;0;0;0;0;0;0;0
Autobahnen;außerorts;Getötete;453;387;428;375;414;393;409;424;356;317
Autobahnen;außerorts;Schwerverletzte;5223;5163;5168;5707;5834;6103;5974;5910;5833;4434
Autobahnen;außerorts;Leichtverletzte;23458;22785;24034;25063;26540;27842;27718;27003;26083;18865
Autobahnen;Insgesamt;Getötete;453;387;428;375;414;393;409;424;356;317
Autobahnen;Insgesamt;Schwerverletzte;5223;5163;5168;5707;5834;6103;5974;5910;5833;4434
Autobahnen;Insgesamt;Leichtverletzte;23458;22785;24034;25063;26540;27842;27718;27003;26083;18865
Bundesstraßen;innerorts;Getötete;195;200;168;178;175;152;134;171;137;114
Bundesstraßen;innerorts;Schwerverletzte;5322;5129;4893;5089;4925;4857;4690;4514;4332;3604
Bundesstraßen;innerorts;Leichtverletzte;34361;34292;32587;34106;32610;32353;31500;30871;30513;24769
Bundesstraßen;außerorts;Getötete;959;828;714;723;771;690;688;661;648;466
Bundesstraßen;außerorts;Schwerverletzte;8640;8312;8244;8225;8337;8272;8080;8083;7898;6270
Bundesstraßen;außerorts;Leichtverletzte;29186;28635;28330;28614;29689;28889;28341;28499;28078;22142
Bundesstraßen;Insgesamt;Getötete;1154;1028;882;901;946;842;822;832;785;580
Bundesstraßen;Insgesamt;Schwerverletzte;13962;13441;13137;13314;13262;13129;12770;12597;12230;9874
Bundesstraßen;Insgesamt;Leichtverletzte;63547;62927;60917;62720;62299;61242;59841;59370;58591;46911
Landesstraßen;innerorts;Getötete;276;232;206;179;227;207;216;191;194;160
Landesstraßen;innerorts;Schwerverletzte;7233;6484;6393;6906;6695;6751;6625;6776;6492;5466
Landesstraßen;innerorts;Leichtverletzte;38653;37990;36167;38055;38296;38213;37850;38422;38653;31451
Landesstraßen;außerorts;Getötete;871;758;745;753;735;713;638;683;640;649
Landesstraßen;außerorts;Schwerverletzte;10355;9853;9556;10060;10115;9969;10015;10262;9948;8802
Landesstraßen;außerorts;Leichtverletzte;30906;29911;29004;29694;30009;30977;30561;30767;29334;25135
Landesstraßen;Insgesamt;Getötete;1147;990;951;932;962;920;854;874;834;809
Landesstraßen;Insgesamt;Schwerverletzte;17588;16337;15949;16966;16810;16720;16640;17038;16440;14268
Landesstraßen;Insgesamt;Leichtverletzte;69559;67901;65171;67749;68305;69190;68411;69189;67987;56586
Kreisstraßen;innerorts;Getötete;97;117;98;99;101;95;102;98;78;86
Kreisstraßen;innerorts;Schwerverletzte;3396;3283;3167;3305;3226;3168;3071;3083;3047;2750
Kreisstraßen;innerorts;Leichtverletzte;17264;17199;17202;17563;17404;17410;17109;16885;17092;14807
Kreisstraßen;außerorts;Getötete;447;424;326;381;370;336;345;375;338;314
Kreisstraßen;außerorts;Schwerverletzte;4970;4918;4686;5045;5049;4963;4927;5152;4764;4598
Kreisstraßen;außerorts;Leichtverletzte;14578;14175;13846;13880;14224;14108;14111;14082;13774;12038
Kreisstraßen;Insgesamt;Getötete;544;541;424;480;471;431;447;473;416;400
Kreisstraßen;Insgesamt;Schwerverletzte;8366;8201;7853;8350;8275;8131;7998;8235;7811;7348
Kreisstraßen;Insgesamt;Leichtverletzte;31842;31374;31048;31443;31628;31518;31220;30967;30866;26845
Andere Straßen;innerorts;Getötete;547;513;505;527;545;506;524;524;523;450
Andere Straßen;innerorts;Schwerverletzte;21003;20454;19390;20754;20928;20706;20580;21465;20232;18899
Andere Straßen;innerorts;Leichtverletzte;127058;125478;121722;127693;129476;131899;129357;134134;128051;112239
Andere Straßen;außerorts;Getötete;164;141;149;162;121;114;124;148;132;163
Andere Straßen;außerorts;Schwerverletzte;2843;2683;2560;2641;2597;2637;2551;2722;2698;3182
Andere Straßen;außerorts;Leichtverletzte;7916;7634;7193;7135;7478;7549;7252;7388;7408;8099
Andere Straßen;Insgesamt;Getötete;711;654;654;689;666;620;648;672;655;613
Andere Straßen;Insgesamt;Schwerverletzte;23846;23137;21950;23395;23525;23343;23131;24187;22930;22081
Andere Straßen;Insgesamt;Leichtverletzte;134974;133112;128915;134828;136954;139448;136609;141522;135459;120338
Insgesamt;innerorts;Getötete;1115;1062;977;983;1048;960;976;984;932;810
Insgesamt;innerorts;Schwerverletzte;36954;35350;33843;36054;35774;35482;34966;35838;34103;30719
Insgesamt;innerorts;Leichtverletzte;217336;214959;207678;217417;217786;219875;215816;220312;214309;183266
Insgesamt;außerorts;Getötete;2894;2538;2362;2394;2411;2246;2204;2291;2114;1909
Insgesamt;außerorts;Schwerverletzte;32031;30929;30214;31678;31932;31944;31547;32129;31141;27286
Insgesamt;außerorts;Leichtverletzte;106044;103140;102407;104386;107940;109365;107983;107739;104677;86279
Insgesamt;Insgesamt;Getötete;4009;3600;3339;3377;3459;3206;3180;3275;3046;2719
Insgesamt;Insgesamt;Schwerverletzte;68985;66279;64057;67732;67706;67426;66513;67967;65244;58005
Insgesamt;Insgesamt;Leichtverletzte;323380;318099;310085;321803;325726;329240;323799;328051;318986;269545
